取引日時,取引種別,取引形態,通貨ペア,増加通貨名,増加数量,減少通貨名,減少数量,約定代金,約定価格,手数料通貨,手数料数量,送付元アドレス,送付先アドレス,登録番号,社名,備考
2025/1/4 6:12,売却,媒介,BTC/JPY,JPY,30855.442,BTC,0.002,30855.442,15427721,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293541
2025/1/4 6:16,売却,媒介,BTC/JPY,JPY,46289.598,BTC,0.003,46289.598,15429866,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293542
2025/1/4 6:20,売却,媒介,BTC/JPY,JPY,15427.853,BTC,0.001,15427.853,15427853,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293543
2025/1/4 6:20,売却,媒介,BTC/JPY,JPY,16867.73015,BTC,0.00109333,16867.73015,15427849,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293544
2025/1/4 6:20,売却,媒介,BTC/JPY,JPY,13987.57436,BTC,0.00090667,13987.57436,15427415,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293545
2025/1/4 9:04,売却,媒介,BTC/JPY,JPY,46305.75,BTC,0.003,46305.75,15435250,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293546
2025/1/4 11:20,売却,媒介,IOST/JPY,JPY,3883.5225,IOST,3315,3883.5225,1.1715,JPY,1.94176125,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293547
2025/1/4 11:21,売却,媒介,IOST/JPY,JPY,3145.4775,IOST,2685,3145.4775,1.1715,JPY,1.57273875,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293548
2025/1/6 15:18,購入,媒介,BTC/JPY,BTC,0.00109973,JPY,17261.99882,17261.99882,15696579,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 28939483702
2025/1/7 5:02,売却,媒介,BTC/JPY,JPY,33668.61867,BTC,0.0020972,33668.61867,16054081,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29614293551
2025/1/8 6:27,購入,媒介,BTC/JPY,BTC,0.00399837,JPY,61374.93552,61374.93552,15349989,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 28964470469
2025/1/8 6:31,購入,媒介,BTC/JPY,BTC,0.00399937,JPY,61454.84734,61454.84734,15366132,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 28964508481
2025/1/8 6:35,購入,媒介,BTC/JPY,BTC,0.00400068,JPY,61380.87698,61380.87698,15342611,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 28964556504
2025/1/8 16:19,購入,媒介,IOST/JPY,IOST,10000,JPY,10480,10480,1.048,JPY,5.24,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992432
2025/1/9 9:22,売却,媒介,IOST/JPY,JPY,4372.2705,IOST,3705,4372.2705,1.1801,JPY,2.18613525,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398730
2025/1/9 9:24,売却,媒介,IOST/JPY,JPY,2858.2022,IOST,2422,2858.2022,1.1801,JPY,1.4291011,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398731
2025/1/9 9:36,売却,媒介,IOST/JPY,JPY,1379.5369,IOST,1169,1379.5369,1.1801,JPY,0.68976845,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398732
2025/1/9 9:40,売却,媒介,IOST/JPY,JPY,1619.0972,IOST,1372,1619.0972,1.1801,JPY,0.8095486,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398733
2025/1/9 9:42,売却,媒介,IOST/JPY,JPY,1571.8932,IOST,1332,1571.8932,1.1801,JPY,0.7859466,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398734
2025/1/13 6:42,購入,媒介,IOST/JPY,IOST,8535,JPY,10071.3,10071.3,1.18,JPY,5.03565,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992434
2025/1/13 6:42,購入,媒介,IOST/JPY,IOST,1465,JPY,1728.7,1728.7,1.18,JPY,0.86435,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992435
2025/1/13 13:19,購入,媒介,IOST/JPY,IOST,5000,JPY,5642.5,5642.5,1.1285,JPY,2.82125,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992436
2025/1/15 2:35,売却,媒介,IOST/JPY,JPY,12890,IOST,10000,12890,1.289,JPY,6.445,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398739
2025/1/16 12:12,購入,媒介,IOST/JPY,IOST,5000,JPY,5889.5,5889.5,1.1779,JPY,2.94475,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992438
2025/1/16 21:38,購入,媒介,IOST/JPY,IOST,8000,JPY,9199.2,9199.2,1.1499,JPY,9.1992,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992439
2025/1/17 17:08,売却,媒介,BTC/JPY,JPY,63397.348,BTC,0.004,63397.348,15849337,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 30079398744
2025/1/17 17:12,売却,媒介,BTC/JPY,JPY,63385.616,BTC,0.004,63385.616,15846404,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 31079210222
2025/1/17 17:19,売却,媒介,BTC/JPY,JPY,63433.37826,BTC,0.00399851,63433.37826,15864254,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 31079210223
2025/1/17 21:56,購入,媒介,IOST/JPY,IOST,10000,JPY,11385,11385,1.1385,JPY,5.6925,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992440
2025/1/18 14:36,購入,媒介,IOST/JPY,IOST,5000,JPY,5555.5,5555.5,1.1111,JPY,2.77775,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992441
2025/1/23 8:52,購入,媒介,IOST/JPY,IOST,5000,JPY,4975,4975,0.995,JPY,2.4875,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992442
2025/1/23 9:00,購入,媒介,IOST/JPY,IOST,5000,JPY,4975,4975,0.995,JPY,2.4875,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992443
2025/1/23 17:45,購入,媒介,IOST/JPY,IOST,193,JPY,187.789,187.789,0.973,JPY,0.0938945,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992444
2025/1/23 17:45,購入,媒介,IOST/JPY,IOST,1048,JPY,1019.704,1019.704,0.973,JPY,0.509852,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992445
2025/1/23 17:49,購入,媒介,IOST/JPY,IOST,1466,JPY,1426.418,1426.418,0.973,JPY,0.713209,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992446
2025/1/23 19:47,購入,媒介,IOST/JPY,IOST,2185,JPY,2126.005,2126.005,0.973,JPY,1.0630025,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992447
2025/1/23 20:12,購入,媒介,IOST/JPY,IOST,5108,JPY,4970.084,4970.084,0.973,JPY,2.485042,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992448
2025/1/27 13:15,購入,媒介,IOST/JPY,IOST,9646,JPY,9151.1602,9151.1602,0.9487,JPY,4.5755801,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992449
2025/1/27 13:27,購入,媒介,IOST/JPY,IOST,354,JPY,335.8398,335.8398,0.9487,JPY,0.1679199,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 33300992450
2025/1/27 17:32,購入,媒介,BTC/JPY,BTC,0.00199954,JPY,30853.99795,30853.99795,15430548,,,,,関東財務局長 第00014号,コインチェック株式会社,Trade ID: 29311064000
