日時,精算区分,日本円受渡金額,注文ID,約定ID,建玉ID,銘柄名,注文タイプ,取引区分,売買区分,執行条件,約定数量,約定レート,約定金額,注文手数料,レバレッジ手数料,入出金区分,入出金金額,授受区分,数量,送付手数料,送付先/送付元,トランザクションID
2025/01/02 21:31,取引所現物取引,10902,5930069464,,,ETH,,,売,成行,0.02,545449,10908,6,,,,,,,,
2025/01/02 21:35,取引所現物取引,10899,5930069949,,,ETH,,,売,成行,0.02,545280,10905,6,,,,,,,,
2025/01/02 21:39,取引所現物取引,10901,5930070244,,,ETH,,,売,成行,0.02,545394,10907,6,,,,,,,,
2025/01/03 06:06,取引所現物 取引手数料返金,1,,,,ETH,,,,,,,,,,,,,,,,
2025/01/03 22:52,取引所現物取引,10944,5934798538,,,ETH,,,売,成行,0.02,547547,10950,6,,,,,,,,
2025/01/04 02:16,取引所現物取引,11227,5935584213,,,ETH,,,売,成行,0.02,561661,11233,6,,,,,,,,
2025/01/04 02:20,取引所現物取引,11214,5935652848,,,ETH,,,売,成行,0.02,561021,11220,6,,,,,,,,
2025/01/04 05:00,取引所現物取引,22746,5936047892,,,ETH,,,売,成行,0.04,568971,22758,12,,,,,,,,
2025/01/04 06:04,取引所現物取引,15434,5936252285,,,BTC,,,売,成行,0.001,15436170,15436,2,,,,,,,,
2025/01/04 06:06,取引所現物 取引手数料返金,1,,,,ETH,,,,,,,,,,,,,,,,
2025/01/04 06:08,取引所現物取引,15447,5936381328,,,BTC,,,売,成行,0.001,15449150,15449,2,,,,,,,,
2025/01/05 07:44,取引所現物取引,1545,5940070102,,,BTC,,,売,成行,0.0001,15469800,1546,1,,,,,,,,
2025/01/05 07:44,取引所現物取引,29386,5940070102,,,BTC,,,売,成行,0.0019,15468030,29389,3,,,,,,,,
2025/01/06 16:08,取引所現物取引,31338,5945537615,,,BTC,,,売,成行,0.002,15671190,31342,4,,,,,,,,
2025/01/06 17:40,取引所現物取引,31336,5945829079,,,BTC,,,売,成行,0.002,15670000,31340,4,,,,,,,,
2025/01/06 17:44,取引所現物取引,31269,5945862455,,,BTC,,,売,成行,0.002,15636700,31273,4,,,,,,,,
2025/01/07 06:07,取引所現物 取引手数料返金,2,,,,BTC,,,,,,,,,,,,,,,,
2025/01/08 01:00,取引所現物取引,-21909,5952604464,,,ETH,,,買,成行,0.04,547438,21898,11,,,,,,,,
2025/01/08 01:20,取引所現物取引,-21957,5952720389,,,ETH,,,買,成行,0.04,548638,21946,11,,,,,,,,
2025/01/08 01:24,取引所現物取引,-21991,5952755354,,,ETH,,,買,成行,0.04,549477,21980,11,,,,,,,,
2025/01/08 01:28,取引所現物取引,-22019,5952755830,,,ETH,,,買,成行,0.04,550153,22007,12,,,,,,,,
2025/01/08 01:32,取引所現物取引,-22005,5952795776,,,ETH,,,買,成行,0.04,549843,21994,11,,,,,,,,
2025/01/08 06:15,取引所現物取引,-61315,5954071590,,,BTC,,,買,成行,0.004,15326920,61308,7,,,,,,,,
2025/01/08 06:19,取引所現物取引,-61358,5954072163,,,BTC,,,買,成行,0.004,15337639,61351,7,,,,,,,,
2025/01/08 06:27,取引所現物 取引手数料返金,1,,,,ETH,,,,,,,,,,,,,,,,
2025/01/08 08:16,取引所現物取引,-16079,5954521408,,,ETH,,,買,成行,0.03,535653,16070,9,,,,,,,,
2025/01/09 06:26,取引所現物 取引手数料返金,1,,,,BTC,,,,,,,,,,,,,,,,
2025/01/17 11:44,取引所現物取引,63156,6006787559,,,BTC,,,売,成行,0.004,15797002,63188,32,,,,,,,,
2025/01/17 17:00,取引所現物取引,63218,6008036027,,,BTC,,,売,成行,0.004,15812551,63250,32,,,,,,,,
2025/01/18 15:20,取引所現物取引,-10425,6013452593,,,ETH,,,買,成行,0.02,520926,10419,6,,,,,,,,
2025/01/18 15:24,取引所現物取引,-10385,6013490548,,,ETH,,,買,成行,0.02,518940,10379,6,,,,,,,,
2025/01/18 15:28,取引所現物取引,-10401,6013490840,,,ETH,,,買,成行,0.02,519750,10395,6,,,,,,,,
2025/01/18 19:04,取引所現物取引,-10260,6014448737,,,ETH,,,買,成行,0.02,512675,10254,6,,,,,,,,
2025/01/19 06:25,取引所現物 取引手数料返金,3,,,,ETH,,,,,,,,,,,,,,,,
2025/01/19 20:46,取引所現物取引,-19687,6021286572,,,ETH,,,買,成行,0.04,491910,19677,10,,,,,,,,
2025/01/21 15:08,取引所現物取引,-31716,6035892694,,,BTC,,,買,成行,0.002,15850000,31700,16,,,,,,,,
2025/01/22 15:47,取引所現物取引,32917,6042053133,,,BTC,,,売,成行,0.002,16467125,32934,17,,,,,,,,
2025/01/23 11:48,取引所現物取引,-32212,6046474113,,,BTC,,,買,成行,0.002,16097500,32195,17,,,,,,,,
2025/01/24 16:40,取引所現物取引,10514,6053526608,,,ETH,,,売,成行,0.02,526000,10520,6,,,,,,,,
